registry	year	sex	age_range	population	total_population
7600200	1993	1	0-4	49043	457485
7600200	1993	1	5-9	50690	457485
7600200	1993	1	10-14	51067	457485
7600200	1993	1	15-19	49537	457485
7600200	1993	1	20-24	49494	457485
7600200	1993	1	25-29	44534	457485
7600200	1993	1	30-34	37714	457485
7600200	1993	1	35-39	31341	457485
7600200	1993	1	40-44	25113	457485
7600200	1993	1	45-49	19394	457485
7600200	1993	1	50-54	15261	457485
7600200	1993	1	55-59	11486	457485
7600200	1993	1	60-64	8725	457485
7600200	1993	1	65-69	5888	457485
7600200	1993	1	70-74	3763	457485
7600200	1993	1	75-79	2456	457485
7600200	1993	1	80-84	1979	457485
7600200	1993	1	85	0	457485
7600200	1994	1	0-4	49856	465084
7600200	1994	1	5-9	51532	465084
7600200	1994	1	10-14	51915	465084
7600200	1994	1	15-19	50361	465084
7600200	1994	1	20-24	50316	465084
7600200	1994	1	25-29	45274	465084
7600200	1994	1	30-34	38341	465084
7600200	1994	1	35-39	31862	465084
7600200	1994	1	40-44	25530	465084
7600200	1994	1	45-49	19716	465084
7600200	1994	1	50-54	15515	465084
7600200	1994	1	55-59	11677	465084
7600200	1994	1	60-64	8870	465084
7600200	1994	1	65-69	5986	465084
7600200	1994	1	70-74	3825	465084
7600200	1994	1	75-79	2496	465084
7600200	1994	1	80-84	2012	465084
7600200	1994	1	85	0	465084
7600200	1995	1	0-4	50650	472495
7600200	1995	1	5-9	52354	472495
7600200	1995	1	10-14	52743	472495
7600200	1995	1	15-19	51163	472495
7600200	1995	1	20-24	51118	472495
7600200	1995	1	25-29	45995	472495
7600200	1995	1	30-34	38952	472495
7600200	1995	1	35-39	32369	472495
7600200	1995	1	40-44	25937	472495
7600200	1995	1	45-49	20030	472495
7600200	1995	1	50-54	15762	472495
7600200	1995	1	55-59	11863	472495
7600200	1995	1	60-64	9011	472495
7600200	1995	1	65-69	6082	472495
7600200	1995	1	70-74	3886	472495
7600200	1995	1	75-79	2536	472495
7600200	1995	1	80-84	2044	472495
7600200	1995	1	85	0	472495
7600200	1996	1	0-4	44442	478939
7600200	1996	1	5-9	46621	478939
7600200	1996	1	10-14	50120	478939
7600200	1996	1	15-19	53823	478939
7600200	1996	1	20-24	51582	478939
7600200	1996	1	25-29	45163	478939
